#of levels:        295
base height:     0.10933494
altitude (km)    pressure (hPa)  temperature (K)  water vapor mixing ratio (kg/kg) ozone mixing ratio(kg/kg)
       12.032784      212.957       223.10496   7.4046075e-05   7.8100028e-08
       11.945578      215.815       223.81707   8.0104451e-05   7.7833980e-08
       11.858095      218.712       224.52700   8.6318501e-05   7.7522301e-08
       11.770333      221.647       225.24189   9.2580167e-05   7.7301764e-08
       11.682290      224.623       225.96153   9.9101890e-05   7.7204071e-08
       11.593967      227.638       226.68234   0.00010589443   7.6995551e-08
       11.505358      230.693       227.40810   0.00011293972   7.6790579e-08
       11.416468      233.790       228.13352   0.00012045077   7.6643988e-08
       11.327293      236.928       228.86977   0.00012802923   7.6432130e-08
       11.237830      240.108       229.60506   0.00013629828   7.6290455e-08
       11.148081      243.331       230.33251   0.00014685786   7.6188433e-08
       11.058046      246.597       231.06968   0.00015835866   7.6132194e-08
       10.967723      249.907       231.80552   0.00016984500   7.6027175e-08
       10.877111      253.261       232.54287   0.00018112273   7.5935278e-08
       10.786211      256.661       233.28309   0.00019167359   7.5814605e-08
       10.695021      260.106       234.02523   0.00020187470   7.5694173e-08
       10.603539      263.597       234.77638   0.00021235903   7.5788414e-08
       10.511763      267.135       235.52603   0.00022266673   7.5885701e-08
       10.419695      270.721       236.27151   0.00023277218   7.5842471e-08
       10.327335      274.355       237.01904   0.00024277792   7.5884174e-08
       10.234684      278.037       237.76313   0.00025470331   7.5871525e-08
       10.141741      281.769       238.51171   0.00027266431   7.6024189e-08
       10.048504      285.551       239.25971   0.00029107241   7.6076598e-08
       9.9549740      289.384       240.00803   0.00031139027   7.6067420e-08
       9.8611509      293.268       240.75330   0.00033265379   7.6203534e-08
       9.7670353      297.205       241.50524   0.00035387455   7.6217592e-08
       9.6726243      301.194       242.25615   0.00037997226   7.6135408e-08
       8.7125154      344.154       249.65688   0.00066021771   7.7239678e-08
       7.7241068      393.241       256.67087   0.00093834803   7.8272768e-08
       6.7092393      449.329       263.08222    0.0014716191   7.8072747e-08
       5.6697509      513.417       269.03997    0.0024043646   7.3578904e-08
       4.6064316      586.646       274.86497    0.0039915145   6.6464072e-08
       3.5184206      670.320       280.99522    0.0063852674   5.9899821e-08
       2.4049573      765.928       286.66456     0.010954383   5.0543490e-08
       1.2684959      875.174       292.23272     0.014015787   3.8286306e-08
      0.10933494      1000.00       300.68181     0.018657412   3.2756454e-08
